					BDI			DI			Rand			Time		
medoidy	klaster	s¹siedzi	populacja	kroki	min	mean	max	min	mean	max	min	mean	max	min	mean	max
42	21	29	4	502	0,513631	2,55779	4,793092	0,022825	0,16513	0,739286	0,546017	0,618877	0,665257	3	3	3
42	31	1	4	502	0,733443	2,935837	6,489357	0,030277	0,190768	0,389617	0,483777	0,571159	0,657808	2	2,4	3
42	31	15	4	502	0,122013	1,54375	3,27113	0,022796	0,811828	3,165776	0,461684	0,57851	0,668034	2	2,6	3
42	31	29	4	502	0,167362	1,634015	5,608685	0,05409	0,492359	1,561703	0,551951	0,596427	0,635526	2	2,8	3
42	41	1	4	502	0,253367	3,129514	10,416814	0,011415	0,455047	2,525744	0,512309	0,608203	0,678134	2	2,8	3
42	41	15	4	502	0,382499	1,259572	2,021739	0,07915	0,105595	0,136836	0,449438	0,545401	0,660965	2	2,4	4
42	41	29	4	502	2,5701	4,64052	7,685517	0,018154	0,047554	0,090417	0,450006	0,573974	0,671822	2	2,4	3
3	1	1	4	1002	31,373957	231,695404	1493,608521	0,00057	0,011107	0,02561	0,663048	0,689007	0,734061	1	0,2	1
3	1	15	4	1002	43,173542	491,925476	1555,071289	0,000564	0,014594	0,030011	0,684131	0,725281	0,735134	0	0	0
3	1	29	4	1002	43,173542	491,925476	1555,071289	0,000564	0,014594	0,030011	0,684131	0,725281	0,735134	0	0	0
3	2	1	4	1002	24,46373	823,456116	4358,741211	0,00031	0,016816	0,068796	0,341687	0,592005	0,717207	0	0,2	1
3	2	15	4	1002	0	0	0	0	0	0	0,485608	0,601345	0,71746	0	0	0
3	2	29	4	1002	0	0	0	0	0	0	0,341687	0,558225	0,71746	0	0,2	1
3	3	1	4	1002	0	0	0	0	0	0	0,432142	0,493293	0,613117	0	0	0
3	3	15	4	1002	0	0	0	0	0	0	0,432142	0,493293	0,613117	0	0	0
3	3	29	4	1002	57,837406	57,837406	57,837406	0,013111	0,013111	0,013111	0,341687	0,470585	0,723898	0	0,2	1
16	1	1	4	1002	11,118233	21,691921	65,250412	0,001702	0,006783	0,013978	0,678765	0,68729	0,706035	0	0,4	1
16	1	15	4	1002	11,354485	23,245033	75,91703	0,00217	0,012184	0,044273	0,678892	0,688306	0,699407	0	0,6	1
16	1	29	4	1002	16,213417	36,580761	67,232201	0,001719	0,004942	0,011835	0,671191	0,686911	0,707991	0	0,6	1
16	4	1	4	1002	1,708017	22,33931	115,183182	0,003583	0,068476	0,265206	0,616778	0,674852	0,706035	1	0,6	1
16	4	15	4	1002	4,544234	22,607342	52,556667	0,005267	0,030433	0,12206	0,577642	0,639717	0,683689	0	0,4	1
16	4	29	4	1002	2,336317	18,789471	47,430382	0,001698	0,028498	0,189487	0,605795	0,662337	0,699722	0	0,6	1
16	7	1	4	1002	0,720306	7,562877	28,650621	0,006369	0,150794	0,688108	0,555107	0,626982	0,722194	1	0,6	1
16	7	15	4	1002	2,519882	8,42997	26,532995	0,013752	0,057379	0,09179	0,563565	0,626685	0,682995	0	0,4	1
16	7	29	4	1002	4,793193	11,986578	23,840681	0,004988	0,03285	0,05508	0,602512	0,660718	0,69947	1	0,6	1
16	10	1	4	1002	2,85013	24,896383	80,414825	0,002003	0,025006	0,140679	0,520578	0,600025	0,722573	0	0,4	1
16	10	15	4	1002	0,6393	3,826269	17,021061	0,007473	0,402537	1,473768	0,481063	0,590194	0,672453	1	0,6	1
16	10	29	4	1002	1,454457	25,950684	62,825321	0,006312	0,100543	0,394048	0,538063	0,634027	0,685961	0	0,4	1
16	13	1	4	1002	1,651228	22,041548	58,313404	0,001918	0,092444	0,333792	0,506375	0,620685	0,700543	1	0,6	1
16	13	15	4	1002	2,945539	12,323319	47,521835	0,002998	0,050921	0,136561	0,579851	0,627228	0,704267	0	0,4	1
16	13	29	4	1002	0,84029	6,945348	14,474304	0,014248	0,109122	0,311308	0,559841	0,631615	0,688991	1	0,6	1
16	16	1	4	1002	2,789989	13,371452	32,893135	0,002191	0,050356	0,158474	0,369524	0,594391	0,691579	0	0,4	1
16	16	15	4	1002	0,865919	15,09018	29,776651	0,000733	0,227085	1,331507	0,501578	0,614026	0,722005	0	0,4	1
16	16	29	4	1002	3,686752	14,548879	27,825603	0,021789	0,052476	0,168488	0,401591	0,567296	0,709254	1	0,6	1
