					BDI			DI			Rand			Rand		
medoidy	klaster	s¹siedzi	populacja	kroki	min	mean	max	min	mean	max	min	mean	max	min	mean	max
3	3	15	16	2	32,162304	98,590691	319,269501	0,002709	0,018436	0,049584	0,333333	0,589656	0,874578	0	0	0
3	3	29	16	2	32,162304	98,590691	319,269501	0,002709	0,018436	0,049584	0,333333	0,589656	0,874578	0	0	0
14	1	1	16	2	13,253386	23,187126	39,0425	0,006064	0,013372	0,023638	0,725511	0,755611	0,787733	0	0	0
14	1	15	16	2	13,253386	23,044224	39,0425	0,007446	0,013794	0,023638	0,725511	0,752778	0,784	0	0	0
14	1	29	16	2	13,253386	22,56918	39,0425	0,007446	0,017065	0,039863	0,725511	0,752017	0,784	0	0	0
14	4	1	16	2	8,41009	17,077301	34,15844	0,010558	0,029607	0,058235	0,679378	0,721872	0,795644	0	0	0
14	4	15	16	2	1,301513	13,877566	38,58659	0,009194	0,058131	0,372049	0,659733	0,713806	0,795378	0	0	0
14	4	29	16	2	5,134254	17,84828	37,547859	0,006339	0,028397	0,062892	0,681778	0,726834	0,795644	0	0	0
14	7	1	16	2	5,826224	15,923871	33,862617	0,006279	0,034804	0,082695	0,599644	0,718369	0,789689	0	0	0
14	7	15	16	2	5,826224	17,308601	33,862617	0,006279	0,030117	0,082695	0,6024	0,716231	0,789689	0	0	0
14	7	29	16	2	5,826224	16,151217	33,862617	0,006279	0,033004	0,082695	0,587556	0,715785	0,789689	0	0	0
14	10	1	16	2	1,82181	11,706673	20,695755	0,006734	0,068837	0,314515	0,500356	0,680722	0,784	0	0	0
14	10	15	16	2	1,808298	12,559109	27,497837	0,007424	0,095024	0,314515	0,5008	0,660908	0,7808	0	0	0
14	10	29	16	2	1,82181	10,780056	18,114109	0,0179	0,070969	0,314515	0,500356	0,684106	0,794578	0	0	0
14	13	1	16	2	7,45841	15,206271	40,075878	0,012127	0,031634	0,063008	0,430756	0,652592	0,837956	0	0	0
14	13	15	16	2	2,37131	10,438754	40,075878	0,012127	0,082166	0,400978	0,527911	0,642817	0,786933	0	0	0
14	13	29	16	2	1,512169	9,543159	19,658621	0,012127	0,088021	0,448589	0,430756	0,64451	0,837956	0	0	0
25	1	1	16	2	8,369529	12,423834	19,052647	0,005794	0,022324	0,045106	0,7064	0,720915	0,747644	0	0	0
25	1	15	16	2	8,369529	11,234161	13,023743	0,011387	0,026044	0,045106	0,706933	0,717289	0,747644	0	0	0
25	1	29	16	2	9,376557	12,906828	17,030041	0,007729	0,021376	0,045106	0,706933	0,721732	0,757333	0	0	0
25	7	1	16	2	1,491162	6,235291	15,628569	0,013329	0,067278	0,170126	0,645244	0,689817	0,737067	0	0	0
25	7	15	16	2	1,389485	4,61898	10,177684	0,024967	0,120405	0,323905	0,615911	0,661917	0,721067	0	0	0
25	7	29	16	2	0,827532	 1.#INF00	 1.#INF00	0,015433	0,078992	0,336783	0,628533	0,697123	0,782756	0	0,2	1
25	13	1	16	2	0,537288	4,245781	7,867783	0,028975	0,099758	0,246072	0,587111	0,666983	0,722933	0	0	0
25	13	15	16	2	2,296773	4,921408	10,925591	0,041511	0,100642	0,147117	0,611644	0,663795	0,722933	0	0	0
25	13	29	16	2	0,537288	5,550737	11,12194	0,016184	0,097217	0,246072	0,565067	0,674297	0,750311	0	0	0
25	19	1	16	2	1,761756	3,663663	7,061825	0,026526	0,104104	0,164481	0,590489	0,654078	0,7184	0	0	0
25	19	15	16	2	1,539759	3,20167	7,061825	0,026526	0,121399	0,268194	0,536444	0,648654	0,7184	0	0	0
25	19	29	16	2	1,761756	3,602319	7,061825	0,026526	0,115122	0,166008	0,585956	0,662678	0,7184	0	0	0
25	25	1	16	2	2,403305	6,634684	21,304262	0,016016	0,074733	0,173432	0,477244	0,62275	0,720178	0	0	0
25	25	15	16	2	2,403305	4,02845	6,519079	0,023769	0,095215	0,173432	0,482222	0,615206	0,720178	0	0	0
25	25	29	16	2	2,403305	4,245239	6,519079	0,023769	0,097262	0,173432	0,482222	0,621411	0,720178	0	0	0
36	1	1	16	2	5,87784	7,60534	10,265495	0,00284	0,027232	0,04963	0,698133	0,710589	0,791556	0	0	0
36	1	15	16	2	5,87784	7,823165	9,1086	0,015154	0,029186	0,049822	0,698133	0,705461	0,713956	0	0	0
36	1	29	16	2	5,87784	8,372545	11,536091	0,00284	0,025953	0,050189	0,698133	0,707023	0,791556	0	0,2	1
36	9	1	16	2	0,93046	4,405241	8,985376	0,021739	0,088901	0,29898	0,633689	0,681404	0,719556	0	0	0
36	9	15	16	2	0,626207	3,957194	8,985376	0,021739	0,108996	0,492954	0,630844	0,672562	0,712356	0	0	0
36	9	29	16	2	0,816414	4,757867	11,898778	0,021583	0,093758	0,358207	0,630844	0,6765	0,712356	0	0	0
36	17	1	16	2	0,695117	4,182094	8,240192	0,02578	0,101753	0,391981	0,607289	0,659661	0,7056	0	0	0
36	17	15	16	2	1,168246	4,544933	8,240192	0,02578	0,065169	0,202086	0,608267	0,672644	0,710222	0	0	0
36	17	29	16	2	0,210889	2,82776	8,240192	0,02578	0,277627	1,888511	0,5656	0,645502	0,710133	0	0,2	1
36	25	1	16	2	1,025343	3,645568	8,167009	0,02711	0,169421	0,810699	0,555733	0,639323	0,711289	0	0	0
36	25	15	16	2	1,025343	4,20172	8,167009	0,02711	0,11745	0,810699	0,515644	0,621316	0,710844	0	0	0
36	25	29	16	2	1,025343	3,473477	8,167009	0,02711	0,165632	0,810699	0,555733	0,643386	0,711289	0	0	0
