					BDI			DI			Rand			Time		
medoidy	klastry	s¹siedzi	populacja	kroki	min	mean	max	min	mean	max	min	mean	max	min	mean	max
48	1	1	4	1002	7,318961	9,714719	16,114632	0,002168	0,014275	0,037588	0,372105	0,375538	0,381237	19	19,8	21
48	1	15	4	1002	6,390148	8,684328	11,459129	0,003774	0,011182	0,02045	0,372258	0,373661	0,376441	19	19,8	21
48	1	29	4	1002	7,039862	7,818537	11,674385	0,008404	0,019648	0,029698	0,37287	0,374658	0,377819	19	19,8	21
48	12	1	4	1002	4,228835	8,084867	16,273903	0,013178	0,137447	0,774022	0,378941	0,405158	0,452811	17	17,8	19
48	12	15	4	1002	5,983136	9,344759	18,239645	0,01619	0,08365	0,490805	0,376696	0,395552	0,427762	17	18,4	20
48	12	29	4	1002	2,136238	6,30641	13,21703	0,044737	0,161645	0,276434	0,388226	0,412055	0,444546	16	17,4	19
48	23	1	4	1002	2,78069	9,352668	17,454119	0,026917	0,10985	0,287683	0,380114	0,421253	0,452403	14	16	18
48	23	15	4	1002	3,072262	6,308648	11,457061	0,020258	0,175109	0,349916	0,382461	0,427515	0,46434	15	16	17
48	23	29	4	1002	2,089912	6,486351	15,886844	0,026171	0,235768	0,843574	0,379451	0,42677	0,492603	14	15,8	17
48	34	1	4	1002	2,44436	7,714377	14,970407	0,060492	0,261107	0,443246	0,411387	0,441478	0,52714	13	15,2	17
48	34	15	4	1002	1,783147	5,659	9,136893	0,09906	0,201158	0,537169	0,394143	0,449395	0,554739	13	15,4	18
48	34	29	4	1002	2,631045	6,874119	14,189505	0,069607	0,240302	0,754403	0,388226	0,446975	0,543516	14	15,4	17
48	45	1	4	1002	2,312501	7,606081	11,008946	0,045183	0,087417	0,180432	0,392256	0,461665	0,56984	9	13,6	18
48	45	15	4	1002	3,495701	7,579527	11,979441	0,033239	0,055087	0,090301	0,38996	0,44371	0,542139	14	16	19
48	45	29	4	1002	3,531986	7,089927	23,996628	0,021702	0,140712	0,301323	0,384655	0,438386	0,514029	13	15	18
3	1	1	16	2	47,935886	270,632172	1002,658203	0,000736	0,007779	0,02626	0,458219	0,501977	0,654525	0	0	0
3	1	15	16	2	41,729031	184,918915	1613,467651	0,000567	0,01176	0,039002	0,457912	0,48344	0,598153	0	0,2	1
3	1	29	16	2	52,282322	184,22171	496,384857	0,001707	0,00687	0,015858	0,457912	0,489478	0,536272	0	0	0
3	2	1	16	2	12,144938	196,571823	1683,977905	0,0033	0,010176	0,03642	0,455311	0,518442	0,64876	0	0	0
3	2	15	16	2	12,144938	155,768433	1683,977905	0,00128	0,009583	0,03642	0,455056	0,524212	0,64876	0	0	0
3	2	29	16	2	12,144938	165,362289	1683,977905	0,002147	0,010254	0,03642	0,455056	0,524323	0,64876	0	0	0
3	3	1	16	2	44,178333	98,008057	277,400299	0,004108	0,01773	0,041129	0,460157	0,540155	0,637945	0	0	0
3	3	15	16	2	14,547297	96,022919	216,952057	0,002905	0,020528	0,087261	0,457555	0,540286	0,637945	0	0	0
3	3	29	16	2	44,178333	93,584396	277,400299	0,004108	0,016756	0,041129	0,459341	0,52963	0,637945	0	0	0
18	1	1	16	2	17,269058	24,530087	38,892689	0,003198	0,00808	0,016678	0,382053	0,388433	0,396745	0	0	0
18	1	15	16	2	18,132246	26,968145	40,060165	0,003198	0,007768	0,01451	0,382053	0,38806	0,393021	0	0	0
18	1	29	16	2	17,174911	28,660534	49,415798	0,001504	0,006615	0,012596	0,381849	0,390097	0,40001	0	0	0
18	5	1	16	2	12,787202	28,790115	77,186333	0,007368	0,053472	0,398484	0,387154	0,419092	0,472707	0	0	0
18	5	15	16	2	12,5506	28,436361	55,993652	0,001536	0,03065	0,094297	0,388277	0,411827	0,431997	0	0	0
18	5	29	16	2	11,553703	25,156368	83,655197	0,002646	0,045909	0,183848	0,385369	0,417366	0,465871	0	0	0
18	9	1	16	2	11,909775	19,823042	33,134773	0,009773	0,05932	0,178448	0,390011	0,426771	0,457912	0	0	0
18	9	15	16	2	11,320173	32,541512	87,65847	0,002529	0,051775	0,322734	0,384042	0,406406	0,451689	0	0	0
18	9	29	16	2	10,56102	22,799725	50,341488	0,004861	0,052179	0,210025	0,385012	0,421845	0,480512	0	0	0
18	13	1	16	2	11,522546	26,368774	47,51741	0,004737	0,017617	0,028447	0,386899	0,439059	0,497347	0	0	0
18	13	15	16	2	10,950242	27,377588	71,273224	0,004737	0,027126	0,08289	0,386899	0,445493	0,531884	0	0	0
18	13	29	16	2	10,841485	27,290091	71,273224	0,004737	0,026048	0,05575	0,386899	0,446249	0,531884	1	0,2	1
18	17	1	16	2	6,541552	19,45422	41,37088	0,018965	0,087696	0,380463	0,392715	0,484415	0,53617	0	0	0
18	17	15	16	2	8,908673	20,789734	40,749073	0,016006	0,087669	0,270433	0,396694	0,472069	0,53617	0	0	0
18	17	29	16	2	8,908673	21,269575	41,37088	0,016006	0,068429	0,133901	0,396694	0,475592	0,526528	0	0	0
33	1	1	16	2	9,672655	12,515075	20,475449	0,007098	0,015488	0,036601	0,376135	0,380207	0,385828	0	0	0
33	1	15	16	2	10,537888	13,363062	19,822544	0,005181	0,013026	0,025181	0,375829	0,379746	0,385828	0	0,2	1
33	1	29	16	2	9,599286	12,98831	16,476904	0,00359	0,013591	0,030381	0,376237	0,38014	0,388328	0	0	0
33	9	1	16	2	6,157953	12,562922	22,544312	0,014473	0,084107	0,303722	0,379757	0,401808	0,420314	0	0	0
33	9	15	16	2	6,838084	12,794099	20,838541	0,009233	0,062341	0,160421	0,379757	0,399083	0,417559	0	0,2	1
33	9	29	16	2	6,144085	13,854739	29,669943	0,010988	0,064959	0,169629	0,382563	0,3988	0,423681	1	0,2	1
33	17	1	16	2	4,186067	9,729463	24,55566	0,006936	0,131199	0,538788	0,386746	0,432655	0,483216	0	0	0
33	17	15	16	2	4,186067	10,101791	19,081532	0,020022	0,116559	0,264243	0,389807	0,435695	0,498776	0	0	0
33	17	29	16	2	4,106572	10,209188	23,854082	0,010847	0,20209	0,904839	0,378125	0,434667	0,519743	0	0,2	1
33	25	1	16	2	4,087132	8,259301	19,825979	0,043588	0,238027	0,809185	0,399041	0,445321	0,529538	0	0	0
33	25	15	16	2	3,636144	11,53266	40,360291	0,00806	0,064415	0,168115	0,380063	0,429558	0,497296	0	0	0
33	25	29	16	2	3,873564	8,377195	22,458458	0,033617	0,085019	0,168115	0,403632	0,44169	0,497296	1	0,2	1
33	33	1	16	2	3,26984	12,686407	27,349314	0,005101	0,238553	0,828113	0,374707	0,474435	0,603306	0	0	0
33	33	15	16	2	4,652467	10,866378	24,213711	0,005101	0,203793	0,828113	0,374707	0,448788	0,603306	0	0	0
33	33	29	16	2	3,979619	11,168158	24,213711	0,005101	0,283165	0,828113	0,374707	0,477279	0,535251	0	0	0
48	1	1	16	2	6,983364	8,527492	12,433042	0,003624	0,016057	0,032025	0,372564	0,374884	0,379757	0	0,2	1
48	1	15	16	2	6,971684	8,953853	19,293331	0,002685	0,01718	0,040229	0,372666	0,375261	0,378839	0	0,2	1
48	1	29	16	2	6,763043	8,943986	16,804138	0,003141	0,016624	0,035056	0,372564	0,376089	0,381186	0	0,2	1
48	12	1	16	2	3,922996	7,841744	30,155645	0,010578	0,120915	0,420787	0,375217	0,402982	0,425416	0	0,2	1
48	12	15	16	2	2,490516	7,04335	12,872064	0,007835	0,109348	0,74687	0,373227	0,401219	0,444649	0	0,2	1
48	12	29	16	2	4,191897	7,621694	19,462303	0,016169	0,079751	0,253278	0,379706	0,40531	0,466993	0	0,2	1
48	23	1	16	2	2,938566	8,62595	44,470222	0,021088	0,142199	1,04445	0,373584	0,411652	0,46332	0	0,2	1
48	23	15	16	2	3,266433	8,510521	37,399532	0,011297	0,087301	0,331963	0,372564	0,414073	0,46332	0	0,2	1
48	23	29	16	2	3,018851	7,784297	17,938061	0,017646	0,085567	0,222008	0,372564	0,413231	0,45878	0	0,2	1
48	34	1	16	2	2,032627	5,971545	17,921032	0,006545	0,174589	0,744657	0,374911	0,435109	0,540353	0	0,2	1
48	34	15	16	2	2,34105	6,674553	12,317994	0,023065	0,166368	0,490068	0,375982	0,432167	0,539996	0	0,2	1
48	34	29	16	2	2,537323	5,692902	13,941056	0	0	0	0,425773	0,461455	0,501275	0	0	0
48	45	1	16	2	2,60336	5,885476	15,131491	0,043046	0,24744	0,632263	0,386695	0,461924	0,531782	0	0,2	1
48	45	15	16	2	1,838261	5,531135	15,131491	0,014751	0,23556	0,659129	0,380675	0,465377	0,544383	0	0,2	1
48	45	29	16	2	1,838261	5,560927	11,192251	0,079209	0,34194	0,659129	0,390113	0,434238	0,531884	0	0	0
3	1	1	16	502	41,358353	119,29763	420,684296	0,002051	0,013918	0,03754	0,454545	0,48538	0,534486	1	0,4	1
3	1	15	16	502	42,252087	161,657623	2174,618896	0,000344	0,010827	0,030675	0,456127	0,49813	0,643302	0	0,2	1
